node_id	crime_count
0	45
1	268
2	231
3	159
4	141
5	489
6	198
7	505
8	221
9	220
10	169
11	377
12	398
13	220
14	290
15	82
16	207
17	495
18	432
19	175
20	419
21	59
22	270
23	416
24	231
25	127
26	505
27	317
28	110
29	469
30	290
31	110
32	138
33	47
34	44
35	100
36	35
37	373
38	429
39	288
40	179
41	296
42	186
43	127
44	333
45	218
46	346
47	434
48	86
49	379
50	303
51	302
52	70
53	160
54	427
55	173
56	197
57	159
58	295
59	223
60	277
61	199
62	129
63	179
64	548
65	77
66	515
67	527
68	45
69	492
70	133
71	397
72	236
73	409
74	587
75	429
76	166
77	444
78	135
79	376
80	81
81	427
82	234
83	188
84	272
85	305
86	349
87	43
88	355
89	406
90	196
91	236
92	372
93	452
94	451
95	429
96	375
97	124
98	385
99	511
100	204
101	194
102	223
103	155
104	325
105	219
106	213
107	83
108	98
109	220
110	170
111	67
112	193
113	371
114	288
115	441
116	440
117	322
118	138
119	247
120	209
121	404
122	198
123	222
124	451
125	252
126	271
127	347
128	197
129	243
130	0
131	337
132	32
133	231
134	363
135	392
136	132
137	409
138	334
139	283
140	407
141	400
142	388
143	277
144	137
145	269
146	188
147	304
148	217
149	54
150	359
151	229
152	352
153	450
154	190
155	210
156	268
157	170
158	47
159	279
160	429
161	454
162	234
163	423
164	414
165	355
166	154
167	266
168	288
169	183
170	135
171	341
172	375
173	381
174	191
175	344
176	148
177	317
178	255
179	287
180	233
181	91
182	267
183	191
184	283
185	394
186	378
187	218
188	187
189	70
190	330
191	92
192	361
193	301
194	309
195	452
196	487
197	227
198	34
199	204
200	404
201	329
202	261
203	252
204	291
205	215
206	245
207	140
208	224
209	417
210	268
211	266
212	44
213	409
214	220
215	227
216	478
217	338
218	117
219	308
220	422
221	170
222	98
223	205
224	201
225	481
226	84
227	416
228	68
229	167
230	126
231	280
232	461
233	82
234	304
235	243
236	173
237	267
238	285
239	310
240	269
241	290
