node_id	crime_count
0	3282
1	470
2	2079
3	478
4	7490
5	7141
6	6386
7	3858
8	614
9	1014
10	306
11	1457
12	1021
13	1076
14	757
15	2870
16	844
17	580
18	3598
19	2994
20	1021
21	2079
22	3383
23	3211
24	2111
25	3635
26	883
27	435
28	994
29	2309
30	2403
31	1417
32	3130
33	4234
34	1130
35	1801
36	7981
37	5213
38	3684
39	5333
40	1246
41	1868
42	1382
43	3243
44	2107
45	3564
46	9480
47	5944
48	2055
49	473
50	1834
51	1567
52	317
53	7579
54	319
55	214
56	2724
57	4770
58	2993
59	904
60	2066
61	2447
62	269
63	2327
64	4787
65	6058
66	986
67	2743
68	228
69	2403
70	272
71	4760
72	1285
73	2538
74	653
75	438
76	1016
77	1129
78	2071
79	925
80	1695
81	905
82	2249
83	1069
84	1696
85	519
86	432
87	3019
88	1951
89	432
90	620
91	4070
92	11533
93	697
94	1507
95	569
96	491
97	5730
