node_id	crime_count
0	4223
1	3675
2	5433
3	2571
4	10969
5	1031
6	1180
7	8897
8	728
9	22963
10	4897
11	10546
12	16249
13	1622
14	8480
15	2803
16	8856
17	90
18	2774
19	1320
20	3852
21	2369
22	5473
23	74139
24	4446
25	15945
26	8363
27	5607
28	1192
29	1012
30	9255
31	10430
32	7356
33	17015
34	3628
35	3129
36	8998
37	12217
38	1278
39	3297
40	340
41	4822
42	9011
43	5523
44	3456
45	7720
46	17062
47	36125
48	6291
49	3349
50	10824
51	5135
52	28044
53	4425
54	1852
55	1942
56	4030
57	5887
58	7656
59	3981
60	5090
61	12858
62	11825
63	3698
64	2419
65	1304
66	10946
67	22563
68	15022
69	3212
70	12729
71	8257
72	13080
73	3842
74	12158
75	2168
76	2844
77	2551
78	1236
79	13640
80	17627
81	12068
82	978
83	2075
84	14582
85	7907
86	8702
87	10368
88	2358
89	15429
90	11420
91	7817
92	1818
93	3687
94	8943
95	11533
96	5215
97	27524
98	14349
99	8867
100	11644
101	14753
102	9564
103	10921
104	5439
105	19672
106	5860
107	32053
108	3253
109	6951
110	13189
111	1555
112	8282
113	13956
