node_id	crime_count
0	637
1	27
2	1431
3	1043
4	2101
5	2781
6	3629
7	9301
8	1192
9	1296
10	2856
11	21185
12	6181
13	30853
14	4458
15	5010
16	9925
17	2280
18	6301
19	1499
20	27827
21	2287
22	25170
23	3402
24	1477
25	5891
26	4889
27	993
28	3999
29	1265
30	3218
31	1545
32	1356
33	6139
34	2247
35	8853
36	4596
37	4951
38	6238
39	1160
40	1361
41	5937
42	5120
43	3208
44	2105
45	3084
46	6849
47	7024
48	3760
49	2607
50	36610
51	2197
52	1810
53	2076
54	6503
55	7433
56	7626
57	21306
58	12551
59	1788
60	12924
61	2187
62	9020
63	12974
64	10661
65	2827
66	4780
67	1718
68	6926
69	3127
70	3019
71	2696
72	4538
