node_id	crime_count
0	883
1	44
2	42
3	20
4	211
5	816
6	4675
7	502
8	106
9	40
10	352
11	432
12	634
13	194
14	14457
15	4611
16	57
17	1178
18	595
19	418
20	0
21	1204
22	366
23	4079
24	395
25	94
26	328
27	2087
28	1228
29	2156
30	1261
31	460
32	541
33	1289
34	1184
35	1067
36	2144
37	570
38	1105
39	281
40	279
41	399
42	5167
43	57
44	432
45	69
46	128
47	866
48	707
49	609
50	522
51	481
52	463
53	798
54	4509
55	3263
56	73
57	0
58	227
59	118
60	256
61	49
62	0
63	6601
64	4
65	301
66	3987
67	145
68	465
69	1622
70	989
71	769
72	327
73	1694
74	512
75	506
76	1592
77	841
78	553
79	576
80	13062
81	267
82	465
83	408
84	519
85	1906
86	1938
87	1798
88	997
89	1785
90	351
91	224
92	5917
93	351
94	836
95	9115
96	2527
97	2261
98	64
99	1133
100	275
101	1082
102	288
103	28
104	1249
105	330
106	893
107	2155
108	8
109	1232
110	131
111	51
112	3381
113	508
114	952
115	178
116	2128
117	4927
118	1047
119	1803
120	5045
