node_id	crime_count
0	2989
1	11242
2	4252
3	3104
4	1279
5	2946
6	1261
7	1080
8	1749
9	7710
10	2137
11	4005
12	1010
13	857
14	1885
15	1745
16	2494
17	1127
18	1574
19	1143
20	2788
21	789
22	1029
23	6535
24	1102
25	1446
26	1972
27	5382
28	2598
29	885
30	788
31	2559
32	648
33	1890
34	2069
35	2253
36	3718
37	2107
38	1711
39	4813
40	4772
41	1588
42	1609
43	1724
44	6132
45	14466
46	7184
47	1502
48	1805
49	1584
50	1234
51	1128
52	908
53	742
54	12312
55	2031
56	11557
57	901
58	2148
59	2571
60	8674
61	1726
62	1230
63	5093
64	1611
65	1234
66	1153
67	1270
68	602
69	1520
70	2327
71	1372
72	848
73	1086
74	1481
75	2483
76	3961
77	1257
78	2572
79	2289
80	1553
81	2565
82	2107
83	1029
84	925
85	3725
86	4899
87	7511
88	1336
89	2258
90	2364
91	2341
92	2052
93	3195
94	1454
95	3506
96	929
97	1838
98	1783
99	2925
100	1607
101	1263
102	3169
103	2537
104	1186
105	1222
106	2286
107	1770
108	2158
109	2076
110	2720
111	2331
112	3005
113	628
114	2169
115	2697
116	2486
117	4603
118	4471
119	3621
120	1132
121	3401
122	2250
123	3106
124	4517
125	2403
126	6101
127	812
128	2176
129	5876
130	4058
131	993
132	1165
133	4201
134	1153
135	1448
136	3111
137	2896
138	2812
139	2025
