file	obj	time	gap	objs	times	gaps	iters
../output/wireless-3-1200/sdrdp_wireless_100_0.05_0.txt.out	140	0.018588	0.0	[141.0, 140.0]	[0.013166, 0.014587]	[2.048857, 0.714286]	[25, 35]
../output/wireless-3-1200/sdrdp_wireless_100_0.05_1.txt.out	135	0.017764	0.0	[136.0]	[0.015542]	[1.286765]	[16]
../output/wireless-3-1200/sdrdp_wireless_100_0.05_2.txt.out	133	0.016286	0.0	[134.0]	[0.014385]	[1.30597]	[11]
../output/wireless-3-1200/sdrdp_wireless_100_0.05_3.txt.out	126	0.016754	0.0	[127.0]	[0.015803]	[0.787402]	[27]
../output/wireless-3-1200/sdrdp_wireless_100_0.05_4.txt.out	134	0.013123	0.0	[]	[]	[]	[]
../output/wireless-3-1200/sdrdp_wireless_100_0.05_5.txt.out	125	0.018651	0.0	[]	[]	[]	[]
../output/wireless-3-1200/sdrdp_wireless_100_0.05_6.txt.out	127	0.018217	0.0	[129.0]	[0.014695]	[2.325581]	[22]
../output/wireless-3-1200/sdrdp_wireless_100_0.05_7.txt.out	134	0.016603	0.0	[135.0]	[0.015481]	[0.987654]	[14]
../output/wireless-3-1200/sdrdp_wireless_100_0.05_8.txt.out	125	0.018099	0.0	[]	[]	[]	[]
../output/wireless-3-1200/sdrdp_wireless_100_0.05_9.txt.out	120	0.019049	0.0	[121.0, 120.0]	[0.018563, 0.018779]	[1.652893, 0.833333]	[20, 22]
../output/wireless-3-1200/sdrdp_wireless_100_0.15_0.txt.out	18	0.423633	0.0	[24.0, 21.0, 19.0, 18.0]	[0.020779, 0.174247, 0.319386, 0.414739]	[41.666667, 22.399994, 12.792666, 6.234383]	[241, 1497, 3564, 5856]
../output/wireless-3-1200/sdrdp_wireless_100_0.15_1.txt.out	26	0.653177	0.0	[39.0, 33.0, 30.0, 28.0, 27.0, 26.0]	[0.023428, 0.0675, 0.134469, 0.233574, 0.44461, 0.640341]	[45.192308, 31.313131, 21.853888, 14.504788, 8.839506, 3.846154]	[252, 556, 1063, 1383, 8670, 15771]
../output/wireless-3-1200/sdrdp_wireless_100_0.15_2.txt.out	23	0.408509	0.0	[31.0, 27.0, 25.0]	[0.02236, 0.13815, 0.385906]	[42.741935, 22.878595, 10.952258]	[292, 1120, 2361]
../output/wireless-3-1200/sdrdp_wireless_100_0.15_3.txt.out	14	0.505164	0.0	[20.0, 16.0, 15.0, 14.0]	[0.021127, 0.080877, 0.417205, 0.504912]	[50.0, 30.116422, 13.676928, 0.0]	[262, 879, 2366, 4742]
