file	obj	time	gap	objs	times	gaps	iters
sdrdp_wireless_100_0.184_0.txt.out	9	1.25173	0.0	[28.0, 22.0, 14.0, 11.0, 10.0, 9.0]	[0.030447, 0.106091, 0.1657, 0.21039, 0.210886, 0.29284]	[75.0, 66.666667, 47.619048, 33.333333, 26.666667, 18.518519]	[356, 875, 987, 2010, 2016, 4328]
sdrdp_wireless_100_0.184_1.txt.out	9	0.294952	0.0	[25.0, 19.0, 13.0, 9.0]	[0.030308, 0.1234, 0.149117, 0.294654]	[77.0, 57.474415, 36.538462, 0.0]	[358, 1244, 1450, 2964]
sdrdp_wireless_100_0.184_2.txt.out	9	0.462793	0.0	[20.0, 12.0, 10.0, 9.0]	[0.02619, 0.117732, 0.143389, 0.268724]	[65.0, 41.666667, 30.0, 22.222222]	[265, 491, 1020, 4734]
sdrdp_wireless_100_0.184_3.txt.out	5	0.197225	0.0	[14.0, 10.0, 7.0]	[0.027208, 0.09971, 0.153175]	[88.571429, 59.654279, 37.74574]	[231, 639, 937]
sdrdp_wireless_100_0.184_4.txt.out	15	1.08032	0.0	[29.0, 19.0, 18.0, 17.0, 16.0, 15.0]	[0.029798, 0.2353, 0.30459, 0.355912, 0.384428, 0.487436]	[62.068966, 32.178102, 28.410218, 24.180396, 19.441671, 13.626225]	[445, 1382, 2513, 3588, 4125, 6382]
sdrdp_wireless_100_0.184_5.txt.out	12	0.43743	0.0	[29.0, 22.0, 14.0, 12.0]	[0.02972, 0.101047, 0.226943, 0.283091]	[68.965517, 54.924242, 23.416149, 10.652174]	[334, 654, 1431, 2673]
sdrdp_wireless_100_0.184_6.txt.out	8	1.71159	0.0	[23.0, 14.0, 12.0, 9.0, 8.0]	[0.031755, 0.056707, 0.333021, 0.383811, 0.750325]	[80.869565, 65.945166, 49.350158, 32.022925, 20.897312]	[359, 514, 1520, 3003, 13951]
sdrdp_wireless_100_0.184_7.txt.out	12	3.02886	0.0	[31.0, 25.0, 18.0, 15.0, 13.0, 12.0]	[0.030424, 0.118922, 0.244149, 0.28375, 0.37428, 3.028525]	[70.967742, 60.618182, 44.126984, 32.0, 21.538462, 0.0]	[380, 832, 1404, 2452, 4800, 47642]
sdrdp_wireless_100_0.184_8.txt.out	7	2.50991	0.0	[24.0, 16.0, 9.0, 8.0, 7.0]	[0.034947, 0.099326, 0.21131, 0.513944, 2.508803]	[84.217172, 70.37037, 43.636364, 34.883721, 0.0]	[360, 699, 1149, 8170, 39290]
sdrdp_wireless_100_0.184_9.txt.out	12	1.33385	0.0	[18.0, 16.0, 13.0, 12.0]	[0.032223, 0.400741, 0.461713, 0.616482]	[61.111111, 35.77229, 20.921419, 13.758796]	[411, 2012, 3627, 7579]
sdrdp_wireless_100_0.242_0.txt.out	5	3.27418	0.0	[18.0, 12.0, 10.0, 6.0, 5.0]	[0.038969, 0.124519, 0.238504, 0.304058, 3.27374]	[84.722222, 73.888889, 68.265306, 46.813725, 0.0]	[395, 701, 951, 2012, 47735]
sdrdp_wireless_100_0.242_1.txt.out	2	0.78376	0.0	[14.0, 11.0, 6.0, 5.0, 4.0, 3.0, 2.0]	[0.036918, 0.097872, 0.286376, 0.374009, 0.374435, 0.510666, 0.783408]	[98.571429, 93.848028, 80.505273, 75.866455, 69.833068, 58.641975, 0.0]	[311, 443, 840, 2758, 2759, 5870, 13082]
