file	obj	time	gap	status
100_0.184_0.txt.out	9	1.25173	0.0	feasible
100_0.184_1.txt.out	9	0.294952	0.0	feasible
100_0.184_2.txt.out	9	0.462793	0.0	feasible
100_0.184_3.txt.out	5	0.197225	0.0	feasible
100_0.184_4.txt.out	15	1.08032	0.0	feasible
100_0.184_5.txt.out	12	0.43743	0.0	feasible
100_0.184_6.txt.out	8	1.71159	0.0	feasible
100_0.184_7.txt.out	12	3.02886	0.0	feasible
100_0.184_8.txt.out	7	2.50991	0.0	feasible
100_0.184_9.txt.out	12	1.33385	0.0	feasible
100_0.242_0.txt.out	5	3.27418	0.0	feasible
100_0.242_1.txt.out	2	0.78376	0.0	feasible
100_0.242_2.txt.out	4	0.818674	0.0	feasible
100_0.242_3.txt.out	4	0.572908	0.0	feasible
100_0.242_4.txt.out	4	0.210129	0.0	feasible
100_0.242_5.txt.out	5	0.244616	0.0	feasible
100_0.242_6.txt.out	5	0.539255	0.0	feasible
100_0.242_7.txt.out	5	0.433363	0.0	feasible
100_0.242_8.txt.out	5	0.846003	0.0	feasible
100_0.242_9.txt.out	5	0.522366	0.0	feasible
200_0.14_0.txt.out	12	588.041	0.0	feasible
200_0.14_1.txt.out	15	46.8917	0.0	feasible
200_0.14_2.txt.out	11	12.4556	0.0	feasible
200_0.14_3.txt.out	14	35.6341	0.0	feasible
200_0.14_4.txt.out	16	101.816	0.0	feasible
200_0.14_5.txt.out	13	12.6473	0.0	feasible
200_0.14_6.txt.out	14	13.8535	0.0	feasible
200_0.14_7.txt.out	14	17.0513	0.0	feasible
200_0.14_8.txt.out	17	1199.99	8.32432	feasible
200_0.14_9.txt.out	14	56.8087	0.0	feasible
200_0.184_0.txt.out	2	11.7156	0.0	feasible
200_0.184_1.txt.out	5	111.49	0.0	feasible
200_0.184_2.txt.out	4	91.3752	0.0	feasible
200_0.184_3.txt.out	0	160.469	0.0	feasible
200_0.184_4.txt.out	5	46.7095	0.0	feasible
200_0.184_5.txt.out	4	155.64	0.0	feasible
200_0.184_6.txt.out	3	813.885	0.0	feasible
200_0.184_7.txt.out	7	1200.02	16.1064	feasible
200_0.184_8.txt.out	8	1200.24	19.128700000000002	feasible
200_0.184_9.txt.out	1	220.662	0.0	feasible
20_0.384_0.txt.out	3	0.013179	0.0	feasible
20_0.384_1.txt.out	3	0.017104	0.0	feasible
20_0.384_2.txt.out	5	0.022055	0.0	feasible
20_0.423_3.txt.out	3	0.017372	0.0	feasible
20_0.423_4.txt.out	4	0.020989	0.0	feasible
20_0.423_5.txt.out	4	0.022017	0.0	feasible
20_0.423_6.txt.out	2	0.015592	0.0	feasible
20_0.423_7.txt.out	4	0.028868	0.0	feasible
20_0.423_8.txt.out	3	0.01878	0.0	feasible
20_0.423_9.txt.out	2	0.00936	0.0	feasible
20_0.437_0.txt.out	2	0.010672	0.0	feasible
20_0.437_1.txt.out	3	0.009782	0.0	feasible
20_0.437_2.txt.out	1	0.012523	0.0	feasible
20_0.437_3.txt.out	1	0.019044	0.0	feasible
20_0.437_4.txt.out	1	0.007396	0.0	feasible
20_0.459_5.txt.out	1	0.013716	0.0	feasible
20_0.459_6.txt.out	2	0.007708	0.0	feasible
20_0.459_7.txt.out	4	0.010982	0.0	feasible
20_0.459_8.txt.out	2	0.030894	0.0	feasible
20_0.459_9.txt.out	0	0.008194	0.0	feasible
300_0.102_0.txt.out	27	509.867	0.0	feasible
300_0.108_1.txt.out	22	1199.94	10.5101	feasible
300_0.113_2.txt.out	23	1180.35	0.0	feasible
300_0.119_3.txt.out	23	1199.84	16.8981	feasible
300_0.125_4.txt.out	18	1199.92	27.019	feasible
300_0.125_5.txt.out	18	1200.12	26.486700000000003	feasible
300_0.125_6.txt.out	20	1200.09	19.950000000000003	feasible
300_0.125_7.txt.out	15	1200.14	21.159	feasible
300_0.125_8.txt.out	13	1199.91	18.4184	feasible
300_0.125_9.txt.out	12	1200.3	24.3444	feasible
300_0.156_0.txt.out	4	1200.21	97.6079	feasible
300_0.156_1.txt.out	7	1200.07	44.3935	feasible
300_0.156_2.txt.out	6	1200.12	49.9563	feasible
300_0.156_3.txt.out	5	750.818	0.0	feasible
300_0.156_4.txt.out	8	1200.05	31.2481	feasible
300_0.156_5.txt.out	5	1200.3	76.9315	feasible
300_0.156_6.txt.out	7	1200.31	37.2997	feasible
300_0.156_7.txt.out	4	1200.03	65.3912	feasible
300_0.156_8.txt.out	6	1199.99	52.3103	feasible
300_0.156_9.txt.out	5	1198.82	67.5562	feasible
30_0.289_0.txt.out	2	0.009964	0.0	feasible
30_0.289_1.txt.out	3	0.028596	0.0	feasible
30_0.319_2.txt.out	5	0.051326	0.0	feasible
30_0.319_3.txt.out	4	0.026435	0.0	feasible
30_0.319_4.txt.out	5	0.075405	0.0	feasible
30_0.319_5.txt.out	4	0.029348	0.0	feasible
30_0.335_6.txt.out	4	0.051689	0.0	feasible
30_0.351_7.txt.out	5	0.054605	0.0	feasible
30_0.351_8.txt.out	3	0.014812	0.0	feasible
30_0.351_9.txt.out	2	0.019285	0.0	feasible
30_0.38_0.txt.out	5	0.024093	0.0	feasible
30_0.38_1.txt.out	5	0.044999	0.0	feasible
30_0.38_2.txt.out	4	0.03354	0.0	feasible
30_0.38_3.txt.out	1	0.021568	0.0	feasible
30_0.38_4.txt.out	1	0.034663	0.0	feasible
30_0.38_5.txt.out	3	0.035177	0.0	feasible
